solution 1756 [ fit.: 0.680116, part.: (0.664396, 0.686456, 0.689495, ), spec.: 0, adj.fit.: 0.006801, age: 0, parents (1681, 1602), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1757 [ fit.: 0.683650, part.: (0.663824, 0.691657, 0.695470, ), spec.: 0, adj.fit.: 0.006837, age: 0, parents (1676, 1695), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1758 [ fit.: 0.684589, part.: (0.664380, 0.693047, 0.696341, ), spec.: 0, adj.fit.: 0.006846, age: 0, parents (1600, 1620), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1759 [ fit.: 0.684745, part.: (0.664653, 0.694143, 0.695440, ), spec.: 0, adj.fit.: 0.006847, age: 0, parents (1671, 1654), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1760 [ fit.: 0.683916, part.: (0.663828, 0.691786, 0.696134, ), spec.: 0, adj.fit.: 0.006839, age: 0, parents (1671, 1614), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1761 [ fit.: 0.684013, part.: (0.664328, 0.691623, 0.696087, ), spec.: 0, adj.fit.: 0.006840, age: 0, parents (1684, 1628), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1762 [ fit.: 0.683939, part.: (0.664368, 0.692523, 0.694926, ), spec.: 0, adj.fit.: 0.006839, age: 0, parents (1607, 1664), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1763 [ fit.: 0.683414, part.: (0.664021, 0.691216, 0.695004, ), spec.: 0, adj.fit.: 0.006834, age: 0, parents (1666, 1675), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1764 [ fit.: 0.681433, part.: (0.663215, 0.688704, 0.692379, ), spec.: 0, adj.fit.: 0.006814, age: 0, parents (1604, 1686), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1765 [ fit.: 0.681667, part.: (0.664805, 0.688942, 0.691256, ), spec.: 0, adj.fit.: 0.006817, age: 0, parents (1643, 1667), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
